timestamp,distance_m,linear_x,angular_z,anomaly
1773869323.395,1.5172,0.300,0.000,OK
1773869323.895,1.5895,0.300,0.000,OK
1773869324.395,1.8535,0.300,0.000,OK
1773869324.895,1.9098,0.300,0.000,OK
1773869325.395,2.1165,0.300,0.000,OK
1773869325.895,2.1897,0.300,0.000,OK
1773869326.395,2.1944,0.300,0.000,OK
1773869326.895,2.2025,0.300,0.000,OK
1773869327.395,2.3288,0.300,0.000,OK
1773869327.895,2.2447,0.300,0.000,OK
1773869328.395,2.1848,0.300,0.000,OK
1773869328.895,2.1691,0.300,0.000,OK
1773869329.395,2.0624,0.300,0.000,OK
1773869329.895,1.9916,0.300,0.000,OK
1773869330.396,1.7232,0.300,0.000,OK
1773869330.895,1.5375,0.300,0.000,OK
1773869331.395,1.4549,0.300,0.000,OK
1773869331.895,1.3203,0.300,0.000,OK
1773869332.395,1.1668,0.300,0.000,OK
1773869332.896,1.0706,0.300,0.000,OK
1773869333.395,0.9010,0.300,0.000,OK
1773869333.895,0.8124,0.300,0.000,OK
1773869334.395,0.8221,0.300,0.000,OK
1773869334.895,0.6249,0.300,0.000,OK
1773869335.396,0.6755,0.300,0.000,OK
1773869335.895,0.8031,0.300,0.000,OK
1773869336.395,0.7948,0.300,0.000,OK
1773869336.895,0.8758,0.300,0.000,OK
1773869337.395,0.8980,0.300,0.000,OK
1773869337.895,1.1688,0.300,0.000,OK
1773869338.395,1.2340,0.300,0.000,OK
1773869338.895,1.4896,0.300,0.000,OK
1773869339.396,1.5551,0.300,0.000,OK
1773869339.895,1.7212,0.300,0.000,OK
1773869340.395,1.9199,0.300,0.000,OK
1773869340.896,2.0504,0.300,0.000,OK
1773869341.395,2.2416,0.300,0.000,OK
1773869341.895,2.2051,0.300,0.000,OK
1773869342.395,2.2809,0.300,0.000,OK
1773869342.895,2.2456,0.300,0.000,OK
1773869343.395,2.2820,0.300,0.000,OK
1773869343.895,2.3215,0.300,0.000,OK
1773869344.395,2.1413,0.300,0.000,OK
1773869344.895,2.0599,0.300,0.000,OK
1773869345.395,1.9941,0.300,0.000,OK
1773869345.895,1.8579,0.300,0.000,OK
1773869346.395,1.6852,0.300,0.000,OK
1773869346.895,1.5788,0.300,0.000,OK
1773869347.395,1.3058,0.300,0.000,OK
1773869347.895,1.1780,0.300,0.000,OK
1773869348.395,1.0668,0.300,0.000,OK
1773869348.895,0.9989,0.300,0.000,OK
1773869349.395,0.8687,0.300,0.000,OK
1773869349.895,0.8157,0.300,0.000,OK
1773869350.395,0.7138,0.300,0.000,OK
1773869350.895,0.6111,0.300,0.000,OK
1773869351.395,0.7287,0.300,0.000,OK
1773869351.895,0.6436,0.300,0.000,OK
1773869352.395,0.8662,0.300,0.000,OK
1773869352.895,0.9358,0.300,0.000,OK
1773869353.395,1.1026,0.300,0.000,OK
1773869353.895,1.2743,0.300,0.000,OK
1773869354.395,1.2982,0.300,0.000,OK
1773869354.895,1.5381,0.300,0.000,OK
1773869355.395,1.6591,0.300,0.000,OK
1773869355.895,1.7982,0.300,0.000,OK
1773869356.395,1.9196,0.300,0.000,OK
1773869356.895,2.1554,0.300,0.000,OK
1773869357.395,2.2185,0.300,0.000,OK
1773869357.895,2.3183,0.300,0.000,OK
1773869358.395,2.2268,0.300,0.000,OK
1773869358.895,2.3283,0.300,0.000,OK
1773869359.395,2.1050,0.300,0.000,OK
1773869359.895,2.2224,0.300,0.000,OK
1773869360.395,2.1272,0.300,0.000,OK
1773869360.895,2.0434,0.300,0.000,OK
1773869361.395,1.9744,0.300,0.000,OK
1773869361.895,1.6693,0.300,0.000,OK
1773869362.395,1.6824,0.300,0.000,OK
1773869362.895,1.3803,0.300,0.000,OK
1773869363.395,1.3311,0.300,0.000,OK
1773869363.895,1.1497,0.300,0.000,OK
1773869364.397,0.9375,0.300,0.000,OK
1773869364.896,0.8397,0.300,0.000,OK
1773869365.396,0.7768,0.300,0.000,OK
1773869365.895,0.7992,0.300,0.000,OK
1773869366.396,0.6714,0.300,0.000,OK
1773869366.895,0.5266,0.300,0.000,OK
1773869367.395,0.7518,0.300,0.000,OK
1773869367.896,0.7685,0.300,0.000,OK
1773869368.396,0.8972,0.300,0.000,OK
1773869368.895,1.0109,0.300,0.000,OK
1773869369.395,1.1871,0.300,0.000,OK
1773869369.896,1.2885,0.300,0.000,OK
1773869370.395,1.4233,0.300,0.000,OK
1773869370.895,1.6010,0.300,0.000,OK
1773869371.395,1.7438,0.300,0.000,OK
1773869371.895,1.9628,0.300,0.000,OK
1773869372.395,2.0049,0.300,0.000,OK
1773869372.895,2.1739,0.300,0.000,OK
1773869373.395,2.2772,0.300,0.000,OK
1773869373.895,2.1854,0.300,0.000,OK
1773869374.395,2.4451,0.300,0.000,OK
1773869374.895,2.3541,0.300,0.000,OK
1773869375.395,2.1860,0.300,0.000,OK
1773869375.895,2.0942,0.300,0.000,OK
1773869376.395,2.0943,0.300,0.000,OK
1773869376.895,1.9596,0.300,0.000,OK
1773869377.395,1.8570,0.300,0.000,OK
1773869377.895,1.7033,0.300,0.000,OK
1773869378.395,1.5489,0.300,0.000,OK
1773869378.895,1.4616,0.300,0.000,OK
1773869379.395,1.3107,0.300,0.000,OK
1773869379.895,1.0531,0.300,0.000,OK
1773869380.395,0.8821,0.300,0.000,OK
1773869380.895,0.7303,0.300,0.000,OK
1773869381.395,0.7480,0.300,0.000,OK
1773869381.895,0.6737,0.300,0.000,OK
1773869382.395,0.6911,0.300,0.000,OK
1773869382.895,0.7504,0.300,0.000,OK
1773869383.395,0.7977,0.300,0.000,OK
1773869383.895,0.8280,0.300,0.000,OK
1773869384.395,1.0093,0.300,0.000,OK
1773869384.895,1.1360,0.300,0.000,OK
1773869385.395,1.2458,0.300,0.000,OK
